,clientes,cantidad_pedidos
0,12f5d6e1cbf93dafd9dcc19095df0b3d,6
1,a239b8e2fbce33780f1f1912e2ee5275,4
2,83e7958a94bd7f74a9414d8782f87628,4
3,25a560b9a6006157838aab1bdbd68624,4
4,e78838df9c44e102b6ac84cc5eea7d5c,3
5,e4b98eebb8983cade8610c0def59f705,3
6,e3301490c373db9263c15a73172d0c6f,3
7,d7624d219b6ffad980e91412174db310,3
8,cc14ea7099959d91a17c9d7c3a46721d,3
9,c76762dfb642ac154475239639f7f8f4,3
10,c6df3869c263531ebd51f0454a353605,3
11,c4fe9fc8b5e1b4f9992db983d0429854,3
12,bb58670190dba4e9b320f84cb98317a3,3
13,b39dde6dd619943190a8cc9aa6db38a4,3
14,ae74c314b9c383e5d7bcd99d54ffbc71,3
15,90f323e9f0948ddd96c6f6a8ecc75830,3
16,728e4a7d0db4845270091ded0923c71f,3
17,6668e1ae499e2e9be475b7f708580232,3
18,63cfc61cee11cbe306bff5857d00bfe4,3
19,6222ef69df52b4ed71be551725551cc0,3
20,565448508b44312e8489ca1bc1f5d09e,3
21,51838d41add414a0b1b989b7d251d9ee,3
22,4e65032f1f574189fb793bac5a867bbc,3
23,3bab949ef05da8e9b3cfd541b6af0ffd,3
24,2e43e031f10de28e557c35ef668f9396,3
25,06a52782a04f0086d16b9c22d0e29438,3
26,ffe254cc039740e17dd15a5305035928,2
27,ff44401d0d8f5b9c54a47374eb48c1b8,2
28,fed2005ccab4fcf1a40ebdaff032a148,2
29,fdb2f8a871f180fefdf3ba06bf7ab179,2
30,fd0e843308b676214ea30ea480295e3e,2
31,fccfbf734a92029859c4fe58eff05114,2
32,fbdd85f919749a8e7a1290c6452024e3,2
33,fafbc4ecb15933633821dfd530c9263b,2
34,f9ae226291893fda10af7965268fb7f6,2
35,f93ea08ded32a5b926f9dd98c1dbd61d,2
36,f804ed90360900357b6db9d7635d275d,2
37,f801278dc42ce9d4773cb91ad0e21ab8,2
38,f7be9bec658c62ab6240b44cd26c0b84,2
39,f79c969a1665f477201e86ae6e036c30,2
40,f62d6572c9c25b3796d058d7b833f8b7,2
41,f596242db91986b554f25768577cd5be,2
42,f46971f1ac7b376b668114a027c98e78,2
43,f2655a0ca53cad79e713d1a21b2328b7,2
44,f11821d908830e74ad782532ebed897a,2
45,f0daba1cfcc18d5a3229e1a911313e3e,2
46,ee5c5d0ff3ff8e904b5c2b66dd471b01,2
47,ee2e40e31211c5c36ebf28b78316542e,2
48,ed873efbae1f165689d2e836f7a45a20,2
49,ed05a1bbf9f8816af23fcc68084bb87d,2
50,eb5d7d093a080f6b02d4b1ed626db0ff,2
51,ea4dce18a6994b1e69f0bc8093cfe869,2
52,e7ba27eaa7692a165b91ba35a41da310,2
53,e7aa3fbe88423a0132e45578023bac50,2
54,e702e8b7b2a4233b4a1c21f457a1030e,2
55,e6da0e9bb3545f5468975a2cf67ce246,2
56,e69e2b2ce493d7d2307b2588fd1614bd,2
57,e67af1efd445becc5019902668fe3218,2
58,e65862da4f9f183565831cf7e1cbb7a5,2
59,e64ab18890c89066fe47f8abbbf180de,2
60,e5bdbd18812e42788e7cbad7058fc0ab,2
61,e44110c2ff342e5bbda6c2224d94bbe6,2
62,e30b83af13d6ff0b0f427b2a67c43b39,2
63,e2c483395f5aa739622936a3e826921d,2
64,e28d3bf5a02fc92d400c59b18bb4cef3,2
65,e23daf58ce481f3d38066e654ef610cb,2
66,e1cf735f320c9870c2046dbbc634fcec,2
67,e079b18794454de9d2be5c12b4392294,2
68,e031118eb65330b4c180522f2743cf51,2
69,dd8c586651f9232e473ad86cf89c143f,2
70,dc591097f939fa6a57749d030d937500,2
71,dc450fdb03562a6d52752858f7855348,2
72,dc1dac999319e4de0009df7ad0d02104,2
73,db539c729198334582efc7b53c803c79,2
74,da5bbfd583efb762f6fda762f1aaf4a9,2
75,da2b78576894a7f95d45bfd20250cc54,2
76,da122df9eeddfedc1dc1f5349a1a690c,2
77,d927267e54f07b9e0fd408d2f840024c,2
78,d7c6bdf20c4ec9c9cda815dde58e778a,2
79,d753459418d268407f19b64be28e3c5a,2
80,d4bfdb188411b1d1fdd0a66e8017e8b4,2
81,d451891847b64bb4cf9a40e9cfe1c7a2,2
82,d3f15df5924e63131bcdac6364b6a6fd,2
83,d3efd0ae3bee9c35f302e336aef87b99,2
84,d35b852498996bd67a141c266e92f35b,2
85,d2f38262a9f66d15aa9fc2b60ea873d9,2
86,d2d3ed262b31f2bb50932fd0b1ab5df7,2
87,d2560fea402745a0f20f542f829c6109,2
88,d1085381045ea6f88be5cc3e14c61e55,2
89,d0bd25a13b24e8d59a11adda68bd3ecd,2
90,d0b2f9c9f13d9048969517d02237b432,2
91,cfdaaa0caea59b06efb4b0fb8c700684,2
92,cf26c0ed98d29abab5c9fe2643f88d19,2
93,cef29e793e232d30250331804cdb7000,2
94,cecc19ff12c206e6368dd1e9c22a848d,2
95,ccac5680eab564a88f301f59030b448b,2
96,cbebce165db72a2bfba9e81a3411bdf7,2
97,c9c6d353f4101827b3dbc83b093b2fe6,2
98,c90610b4cd15ff318841445c558c41fb,2
99,c803385049057260f738c18c12749747,2
100,c5f6047fb345ffd234cf5b26268988be,2
101,c51a1ea9fa9851c70f89d1178c861150,2
102,c4d9ec8c227594222eedd980cb28a6f4,2
103,c4d781fcde967593104a3f3adaee38c6,2
104,c40b4a21d854ab194280dadc8998061f,2
105,c40388c86f0334d1d69f33fc43322a8c,2
106,c400a61d8b936f7d10930fc142a39407,2
107,c37449d8b51eefa148cd87b2c605a1c1,2
108,c2551ea089b7ebbc67a2ea8757152514,2
109,c1d43ef6f70aff50201a1b882176a346,2
110,c17db1418a98b4a6d1dcad61cc579c70,2
111,c169c9937db997a267f749cdd64c161f,2
112,c130bf40aa6d3bdb444b04a8d78adf5a,2
113,c0ab0c71f36879a7e904700157a6d88c,2
114,c0779cfb3d6695eb9a6c14772852e10e,2
115,bfc84496b1100cbbd83a6f8087526168,2
116,bf79e2be560481b2e6014798b4331a18,2
117,bf6656ef50e6fd00e7517b01d615b4f3,2
118,bf6504419e536f7c4c2461ebb0689d48,2
119,befed7f0bf7fc3d0262b0f95989a36ae,2
120,bd8bee2d841f2573c7c4f2d49dfdcaf0,2
121,bd0f8d6b6bc185debdf79f91ba30fdc6,2
122,bc2387c48428a2e128eaa3d5b18b3591,2
123,b918da4934c7eabcda6e45b4e18aba53,2
124,b7f170888469e5332e43c92edd77793f,2
125,b68a98377d20140feaa17eeb61687459,2
126,b3ccfe9606744e8b2757954a125ea1a6,2
127,b3806e7118d02476c96b3dd8578dd07f,2
128,b10ad793f6d2cc31b08a3b8366f3d251,2
129,b0f47d39f0e55621071ec1e93ca6b74d,2
130,b0bc6de4a99007470bbdbbf5cc502ea9,2
131,b0b057559c54c99e41a21c40c08f7780,2
132,b09f1bff1aff13c997af071602bc048b,2
133,afd7854781ccdc3222b69421f9c7c6ee,2
134,afc79cb8de7d350f1909eb6dcd0cb8dc,2
135,ae52fa61f27bd494a25bc4c101fa29d0,2
136,ad6347b3d1ee0be630742d96abcbd9bb,2
137,ac64c33e439eba6713e1743e070ef50e,2
138,ab0f956f72812ae4636be4e15b58031e,2
139,aaad6d68de5490cba508e4203ddc87de,2
140,a82d9e16794b2921f600796767322a9f,2
